county,labor_force,employed,unemployed,unemployed_pct
"Baker County, GA",1145,1076,69,6.0     
"Baldwin County, GA",17607,16388,1219,6.9     
"Banks County, GA",9778,9359,419,4.3     
"Barrow County, GA",40112,38057,2055,5.1     
"Bartow County, GA",49719,46612,3107,6.2     
"Ben Hill County, GA",5460,5083,377,6.9     
"Berrien County, GA",7405,6977,428,5.8     
"Bibb County, GA",67421,62371,5050,7.5     
"Bleckley County, GA",4501,4209,292,6.5     
"Brantley County, GA",6995,6618,377,5.4     
"Brooks County, GA",6842,6488,354,5.2     
"Bryan County, GA",18718,17732,986,5.3     
"Bulloch County, GA",37020,34601,2419,6.5     
"Burke County, GA",9026,8379,647,7.2     
"Butts County, GA",10739,10075,664,6.2     
"Calhoun County, GA",2237,2124,113,5.1     
"Camden County, GA",21089,20092,997,4.7     
"Candler County, GA",5633,5383,250,4.4     
"Carroll County, GA",54475,51009,3466,6.4     
"Catoosa County, GA",32611,31194,1417,4.3     
"Charlton County, GA",4842,4660,182,3.8     
"Chatham County, GA",140631,129918,10713,7.6     
"Chattahoochee County, GA",1988,1864,124,6.2     
"Chattooga County, GA",9767,8947,820,8.4     
"Cherokee County, GA",133045,126581,6464,4.9     
"Clarke County, GA",58206,54453,3753,6.4     
"Clay County, GA",896,785,111,12.4     
"Clayton County, GA",139790,125357,14433,10.3     
"Clinch County, GA",2943,2826,117,4.0     
"Cobb County, GA",414357,389904,24453,5.9     
"Coffee County, GA",18938,17835,1103,5.8     
"Colquitt County, GA",21917,20938,979,4.5     
"Columbia County, GA",74411,71266,3145,4.2     
"Cook County, GA",8102,7718,384,4.7     
"Coweta County, GA",73981,69397,4584,6.2     
"Crawford County, GA",5488,5211,277,5.0     
"Crisp County, GA",9515,8767,748,7.9     
"Dade County, GA",7860,7538,322,4.1     
"Dawson County, GA",12319,11735,584,4.7     
"Decatur County, GA",11304,10763,541,4.8     
"DeKalb County, GA",395683,364209,31474,8.0     
"Dodge County, GA",6957,6542,415,6.0     
"Dooly County, GA",4925,4547,378,7.7     
"Dougherty County, GA",37712,34469,3243,8.6     
"Douglas County, GA",72297,66930,5367,7.4     
"Early County, GA",4424,4168,256,5.8     
"Echols County, GA",1899,1825,74,3.9     
"Effingham County, GA",31400,29827,1573,5.0     
"Elbert County, GA",7969,7418,551,6.9     
"Emanuel County, GA",8518,7915,603,7.1     
"Evans County, GA",5002,4745,257,5.1     
"Fannin County, GA",11066,10542,524,4.7     
"Fayette County, GA",56444,53389,3055,5.4     
"Floyd County, GA",43234,40522,2712,6.3     
"Forsyth County, GA",120904,115371,5533,4.6     
"Franklin County, GA",9892,9308,584,5.9     
"Fulton County, GA",557232,512593,44639,8.0     
"Gilmer County, GA",11963,11401,562,4.7     
"Glascock County, GA",1244,1193,51,4.1     
"Glynn County, GA",38215,35610,2605,6.8     
"Gordon County, GA",28062,26531,1531,5.5     
"Grady County, GA",10601,10139,462,4.4     
"Greene County, GA",7080,6663,417,5.9     
"Gwinnett County, GA",481453,450909,30544,6.3     
"Habersham County, GA",18691,17675,1016,5.4     
"Hall County, GA",101949,97133,4816,4.7     
"Hancock County, GA",2532,2309,223,8.8     
"Haralson County, GA",12245,11525,720,5.9     
"Harris County, GA",16527,15763,764,4.6     
"Hart County, GA",11373,10757,616,5.4     
"Heard County, GA",5132,4798,334,6.5     
"Henry County, GA",115352,106831,8521,7.4     
"Houston County, GA",70418,66769,3649,5.2     
"Irwin County, GA",3467,3276,191,5.5     
"Jackson County, GA",39648,37910,1738,4.4     
"Jasper County, GA",6756,6422,334,4.9     
"Jeff Davis County, GA",6099,5785,314,5.1     
"Jefferson County, GA",6658,6209,449,6.7     
"Jenkins County, GA",3178,2978,200,6.3     
"Johnson County, GA",4006,3808,198,4.9     
"Jones County, GA",13346,12737,609,4.6     
"Lamar County, GA",7980,7476,504,6.3     
"Lanier County, GA",3723,3529,194,5.2     
"Laurens County, GA",19367,18075,1292,6.7     
"Lee County, GA",14763,14081,682,4.6     
"Liberty County, GA",25741,24140,1601,6.2     
"Lincoln County, GA",3497,3307,190,5.4     
"Long County, GA",8139,7782,357,4.4     
"Lowndes County, GA",51599,48484,3115,6.0     
"Lumpkin County, GA",16463,15671,792,4.8     
"McDuffie County, GA",8695,8016,679,7.8     
"McIntosh County, GA",5949,5609,340,5.7     
"Macon County, GA",4614,4303,311,6.7     
"Madison County, GA",12972,12302,670,5.2     
"Marion County, GA",3192,3029,163,5.1     
"Meriwether County, GA",8816,8061,755,8.6     
