,area_title,area_name,zipcode,state,city,population,median_age,race_asian,race_white,race_black,race_native,race_islander,race_other,race_two,race_hispanic,average_household_income,family_households_total,family_poverty_pct,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,family_poverty
104,"Anchorage, AK",ANCHORAGE,99508,Alaska,Anchorage,35564,31,3636,15517,2347,4547,2473,128,3649,3267,82589,7797,10.2,6686,3627,9211,3485,12554,3627
106,"Anchorage, AK",ANCHORAGE,99515,Alaska,Anchorage,24207,34,3126,15107,439,1106,95,33,2102,2199,124511,6201,4.9,5010,2856,6221,1670,8448,1186
107,"Anchorage, AK",ANCHORAGE,99516,Alaska,Anchorage,21544,42,778,16901,412,830,25,9,1181,1408,182016,6037,2.0,6506,5256,3016,538,6247,430
108,"Anchorage, AK",ANCHORAGE,99517,Alaska,Anchorage,17014,37,2268,10017,531,1430,270,151,1283,1064,97247,3939,4.5,3623,2501,4406,1190,5274,765
109,"Anchorage, AK",ANCHORAGE,99518,Alaska,Anchorage,10077,35,1437,5435,220,635,209,4,887,1250,101569,2257,2.4,2116,836,2640,624,3869,241
110,"Anchorage, AK",ANCHORAGE,99540,Alaska,Anchorage,289,48,0,250,0,9,0,0,30,0,94218,82,0.0,62,42,47,20,116,0
111,"Anchorage, AK",ANCHORAGE,99567,Alaska,Anchorage; Knik River,9011,36,410,7259,4,321,0,0,597,420,118189,2415,4.2,1757,1000,2703,153,3388,378
112,"Anchorage, AK",ANCHORAGE,99577,Alaska,Anchorage,28210,32,915,21824,493,1005,154,43,1978,1798,117793,7192,1.3,7278,4316,5783,789,10014,366
113,"Anchorage, AK",ANCHORAGE,99587,Alaska,Anchorage,2233,32,11,1665,0,2,0,0,343,212,124111,469,0.0,1185,187,259,8,591,0
114,"Anchorage, AK",ANCHORAGE,99631,Alaska,Anchorage; Crown Point; Moose ,282,45,0,198,0,0,0,0,40,44,99778,87,29.9,28,0,164,0,89,84
115,"Anchorage, AK",ANCHORAGE,99686,Alaska,Anchorage; Whittier; Valdez,3925,37,89,3224,4,75,3,0,264,266,103941,728,8.0,934,404,1016,39,1530,314
116,"Anchorage, AK",ANCHORAGE,99501,Alaska,Anchorage,17084,34,999,9015,1412,2189,539,111,1459,1360,87441,3142,11.4,3553,2238,4048,1605,5654,1947
117,"Anchorage, AK",ANCHORAGE,99502,Alaska,Anchorage,24505,32,2028,15271,857,1257,408,50,2014,2620,111653,5941,4.5,5709,3112,6003,1176,8527,1102
118,"Anchorage, AK",ANCHORAGE,99503,Alaska,Anchorage,13668,34,2102,5944,1257,1548,476,43,961,1337,64578,2522,12.3,2132,902,4168,1667,4797,1681
